id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
962624,Florida 44 kVnan,74.9,Solar,2024-09-27 00:00:00,,Greenwood,SC,DEC,DEC,greenwood_sc
963122,nannan,50,Solar,2024-09-26 00:00:00,,Laurens,SC,DEC,DEC,laurens_sc
962913,nannan,120,Solar,2024-09-26 00:00:00,,McCormick,SC,DEC,DEC,mccormick_sc
962989,nannan,34,Solar,2024-09-24 00:00:00,,Anderson,SC,DEC,DEC,anderson_sc
962640,nannan,130,Solar,2024-09-24 00:00:00,,Stokes,NC,DEC,DEC,stokes_nc
957449,Floridanan,26.13,Solar,2024-06-28 00:00:00,,Greenwood,SC,DEC,DEC,greenwood_sc
956712,Clinton Bl 100 kVnan,38.25,Solar,2024-06-28 00:00:00,,Newberry,SC,DEC,DEC,newberry_sc
957043,RIVERVIEW SW STA 230 kVnan,615,Natural Gas,2024-06-27 00:00:00,,Cherokee,SC,DEC,DEC,cherokee_sc
957051,THORPE HYDRO Substation 161 kVnan,8.91,Other,2024-06-27 00:00:00,,Jackson,NC,DEC,DEC,jackson_nc
957146,CHAMPIONnan,200,Solar,2024-06-27 00:00:00,,Newberry,SC,DEC,DEC,newberry_sc
957349,JOCASSEE HYDRO Substation 230 kVnan,112,Other,2024-06-27 00:00:00,,Oconee,SC,DEC,DEC,oconee_sc
957233,CATAWBA NUC SW STA 230 kVnan,40,Other,2024-06-26 00:00:00,,York,SC,DEC,DEC,york_sc
957243,MCGUIRE SWITCHING STAnan,33,Other,2024-06-26 00:00:00,,Mecklenburg,NC,DEC,DEC,mecklenburg_nc
957247,MCGUIRE SWITCHING STA 500 kVnan,40,Other,2024-06-26 00:00:00,,Mecklenburg,NC,DEC,DEC,mecklenburg_nc
957101,CHEROKEE COUNTY COGEN FACILITYnan,156,Natural Gas,2024-06-25 00:00:00,,Cherokee,SC,DEC,DEC,cherokee_sc
957264,Anderson Tie 230 kVnan,1485,Natural Gas,2024-06-21 00:00:00,,Anderson,SC,DEC,DEC,anderson_sc
957514,LEE CT UNIT 7C Substationnan,5,Natural Gas,2024-06-21 00:00:00,,Anderson,SC,DEC,DEC,anderson_sc
957517,LEE CT UNIT 8C Substationnan,5,Natural Gas,2024-06-21 00:00:00,,Anderson,SC,DEC,DEC,anderson_sc
957509,Ernest SW Station 230 kVnan,33,Natural Gas,2024-06-20 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
957510,Ernest SW Station 230 kVnan,33,Natural Gas,2024-06-20 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
957511,Ernest SW Station 230 kVnan,33,Natural Gas,2024-06-20 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
957437,Ernest SW Station 230 kVnan,33,Natural Gas,2024-06-20 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
957447,Ernest SW Station 230 kVnan,33,Natural Gas,2024-06-20 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
960889,Buck Steam Switchyard 100 kVnan,470,Natural Gas,2024-06-20 00:00:00,,Rowan,NC,DEC,DEC,rowan_nc
961188,nannan,455,Natural Gas,2024-06-20 00:00:00,,Stokes,NC,DEC,DEC,stokes_nc
961210,nannan,455,Natural Gas,2024-06-20 00:00:00,,Stokes,NC,DEC,DEC,stokes_nc
956180,Dan River CTCC Station 100 kVnan,99,Storage,2024-06-20 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
956141,Southpoint Switching Station 100 kVnan,199,Storage,2024-06-20 00:00:00,,Gaston,NC,DEC,DEC,gaston_nc
956747,Buck Tie Switchyard 100 kVnan,470,Natural Gas,2024-06-20 00:00:00,,Rowan,SC,DEC,DEC,rowan_sc
956469,Bad Creek Hydro Substation 500 kVnan,192,Other,2024-06-20 00:00:00,,Oconee,SC,DEC,DEC,oconee_sc
956240,CLIFFSIDE STEAM STA 5 SW YD 100 kVnan,99,Storage,2024-06-19 00:00:00,,Rutherford,NC,DEC,DEC,rutherford_nc
956294,SADLER TIE 100 kVnan,115,Storage,2024-06-19 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
956971,BUCK CTCC STA YARD 230 kVnan,28,Natural Gas,2024-06-11 00:00:00,,Rowan,NC,DEC,DEC,rowan_nc
956974,Dan River CTCC Station 100 kVnan,40,Natural Gas,2024-06-11 00:00:00,,Rockingham,NC,DEC,DEC,rockingham_nc
956475,W.S. LEE COMBINED CYCLE STA 100 kVnan,30,Natural Gas,2024-06-10 00:00:00,,Anderson,SC,DEC,DEC,anderson_sc
919551,Mullnan,40,Solar,2023-09-28 00:00:00,,Lincoln,NC,DEC,DEC,lincoln_nc
900495,Geer Wh 100 kVnan,49.9,Storage,2023-06-29 00:00:00,,Durham,NC,DEC,DEC,durham_nc
899759,Marshall Steam  Station 230KV Switchyardnan,136,Natural Gas,2023-06-28 00:00:00,,Catawba,NC,DEC,DEC,catawba_nc
899793,EAST FORKnan,1.5,Other,2023-06-28 00:00:00,,Jackson,NC,DEC,DEC,jackson_nc
899053,Wilkes Tienan,120,Storage,2023-06-28 00:00:00,,Wilkes,NC,DEC,DEC,wilkes_nc
899609,BEAR CREEK HYDROnan,1.8,Other,2023-06-28 00:00:00,,Jackson,NC,DEC,DEC,jackson_nc
898997,Cliffside Tie Substationnan,199.9,Storage,2023-06-27 00:00:00,,Rutherford,NC,DEC,DEC,rutherford_nc
