id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
1594,Woonsocket Substation – Tifft ST BESS,4.5,Storage,2024-11-15 00:00:00,2026-12-31 00:00:00,Providence,RI,,PJM,providence_ri
1593,Point St Substation – Aldrich St BESS,3.0,Storage,2024-11-15 00:00:00,2026-12-31 00:00:00,Providence,RI,,PJM,providence_ri
1592,SHELD BESS,3.0,Storage,2024-08-21 00:00:00,2025-09-01 00:00:00,Hampden,MA,,PJM,hampden_ma
1591,Chase Hill Substation -  Western RI DER Study #3,2.375,Solar,2024-08-19 00:00:00,2026-12-31 00:00:00,Washington,RI,,PJM,washington_ri
1590,Tower Hill Substation -  Western RI DER Study #3,3.059999942779541,Solar,2024-08-19 00:00:00,2026-12-31 00:00:00,Washington,RI,,PJM,washington_ri
1589,Kent County Substation - Western RI DER Study #3,21.74799919128418,Solar,2024-08-19 00:00:00,2026-12-31 00:00:00,Kent,RI,,PJM,kent_ri
1588,Wood River Substation - Western RI DER Study #3,49.0,Solar,2024-08-19 00:00:00,2026-12-31 00:00:00,Washington,RI,,PJM,washington_ri
1587,Battery Storage,3.0,Storage,2024-08-15 00:00:00,2025-10-15 00:00:00,Worcester,MA,,PJM,worcester_ma
1586,Battery Storage,16.0,Storage,2024-08-14 00:00:00,2026-04-01 00:00:00,Chittenden,VT,,PJM,chittenden_vt
1585,HGE Group Study,12.979999542236328,Storage,2024-08-13 00:00:00,2026-01-01 00:00:00,Hampden,MA,,PJM,hampden_ma
1584,HGE Group Study,4.0,Natural Gas,2024-08-13 00:00:00,2026-01-01 00:00:00,Hampden,MA,,PJM,hampden_ma
1583,HGE Group Study,4.949999809265137,Storage,2024-08-13 00:00:00,2025-02-15 00:00:00,Hampden,MA,,PJM,hampden_ma
1582,Paxton BESS,3.0,Storage,2024-07-29 00:00:00,2024-12-02 00:00:00,Worcester,MA,,PJM,worcester_ma
1581,TMLP Landfill Solar,2.990000009536743,Solar,2024-07-29 00:00:00,2025-01-25 00:00:00,Bristol,MA,,PJM,bristol_ma
1580,RMLD DER Group Study,9.979999542236328,Storage,2024-07-29 00:00:00,2025-06-16 00:00:00,Middlesex,MA,,PJM,middlesex_ma
1579,RMLD DER Group Study,4.995999813079834,Storage,2024-07-29 00:00:00,2025-02-16 00:00:00,Middlesex,MA,,PJM,middlesex_ma
1571,Battery Storage,19.729999542236328,Storage,2024-06-13 00:00:00,2027-06-30 00:00:00,Worcester,MA,,PJM,worcester_ma
1568,Battery Storage,312.8399963378906,Storage,2024-06-12 00:00:00,2027-01-31 00:00:00,Washington,RI,,PJM,washington_ri
1567,Battery Storage,514.7999877929688,Storage,2024-06-11 00:00:00,2027-01-31 00:00:00,Middlesex,MA,,PJM,middlesex_ma
1566,Wind,197.39999389648438,Wind,2024-06-11 00:00:00,2028-10-01 00:00:00,Aroostook,ME,,PJM,aroostook_me
1564,Battery Storage,100.95500183105469,Storage,2024-06-06 00:00:00,2027-09-30 00:00:00,Windham,VT,,PJM,windham_vt
1563,Solar,165.0,Solar,2024-06-06 00:00:00,2028-06-06 00:00:00,Somerset,ME,,PJM,somerset_me
1561,Battery Storage,141.60000610351562,Storage,2024-06-06 00:00:00,2027-04-01 00:00:00,Litchfield,CT,,PJM,litchfield_ct
1560,Battery Storage,133.79600524902344,Storage,2024-06-06 00:00:00,2027-04-01 00:00:00,Bristol,MA,,PJM,bristol_ma
