id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
J3831,Noblesville (Duke) - Fall Creek (AEP/PJM) 345.0kV,215.0,Solar+Storage,2024-10-08T04:00:00+00:00,2029-06-01T04:00:00+00:00,Madison,IN,INDIANAPOLIS POWER & LIGHT COMPANY,MISO,madison_in
J3832,Lenox 120kV Substation (Bus #264749),200.0,Storage,2024-07-30T04:00:00+00:00,2028-04-05T04:00:00+00:00,Macomb,MI,ITC,MISO,macomb_mi
J3834,Gibson Sta - Francisco 345.0kV,300.0,Storage,2024-09-19T04:00:00+00:00,2026-10-01T04:00:00+00:00,Gibson,IN,"DUKE ENERGY INDIANA, LLC",MISO,gibson_in
J3833,Buffalo 115 kV,200.0,Wind,2024-10-01T04:00:00+00:00,2028-09-01T04:00:00+00:00,Cass,ND,OTTER TAIL POWER COMPANY,MISO,cass_nd
J3464,Fernald,200.0,Solar,2024-04-16T04:00:00+00:00,2028-06-30T04:00:00+00:00,Story,IA,ITC MIDWEST,MISO,story_ia
J3462,Dysart - Traer 161kV,187.0,Solar,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,Tama,IA,ITC MIDWEST,MISO,tama_ia
J3461,SUB 56 - SUB 89 161.0kV,156.0,Solar,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,Muscatine,IA,MIDAMERICAN ENERGY CO.,MISO,muscatine_ia
J3463,LORMAN SS (CE) - FAYETTE 115.0kV,100.0,Solar,2024-04-18T04:00:00+00:00,2026-10-01T04:00:00+00:00,Jefferson,MS,"ENTERGY MISSISSIPPI, LLC.",MISO,jefferson_ms
J3485,JEFFERSON,100.0,Storage,2024-04-16T04:00:00+00:00,2028-09-15T04:00:00+00:00,Wayne,MI,ITC,MISO,wayne_mi
J3486,Rogers 138 kV Substation,200.0,Storage,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,Muskegon,MI,GridUnity,MISO,muskegon_mi
J3482,Other_,350.0,Solar,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,McLean,IL,AMEREN ILLINOIS,MISO,mclean_il
J3484,EL DORADO EHV - SAREPTA 345/115 SS 345.0kV,200.0,Solar,2024-04-12T04:00:00+00:00,2027-02-28T05:00:00+00:00,Union,AR,"ENTERGY ARKANSAS, LLC",MISO,union_ar
J3487,CAYUGA 345,400.0,Solar,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Vermillion,IN,"DUKE ENERGY INDIANA, LLC",MISO,vermillion_in
J3488,CAYUGA 345,400.0,Storage,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Vermillion,IN,"DUKE ENERGY INDIANA, LLC",MISO,vermillion_in
J3490,Caldwell County,200.0,Storage,2024-03-21T04:00:00+00:00,2027-09-01T04:00:00+00:00,Caldwell,KY,BIG RIVERS ELECTRIC CORPORATION,MISO,caldwell_ky
J3491,AB Brown 345 - Gibson (Duke Terminal) 345.0kV,45.0,Solar,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Posey,IN,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,MISO,posey_in
J3492,AB Brown 345 - Gibson (Duke Terminal) 345.0kV,45.0,Storage,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Posey,IN,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,MISO,posey_in
J3493,Other_,200.0,Wind,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,McDonough,IL,AMEREN TRANSMISSION COMPANY OF ILLINOIS,MISO,mcdonough_il
J3319,SAREPTA 345/115 SS,150.0,Solar+Storage,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,Webster,LA,"ENTERGY LOUISIANA, LLC",MISO,webster_la
J3336,RINGLE,41.8,Wind,2024-04-05T04:00:00+00:00,2027-04-01T04:00:00+00:00,Tuscola,MI,ITC,MISO,tuscola_mi
J3335,Other_,222.0,Wind,2024-04-18T04:00:00+00:00,2028-10-01T04:00:00+00:00,McLean,IL,AMEREN ILLINOIS,MISO,mclean_il
J3337,5STODDARD - 5MORLEY (AECI) 161.0kV,230.0,Solar,2024-04-16T04:00:00+00:00,2028-03-01T05:00:00+00:00,Stoddard,MO,AMEREN MISSOURI,MISO,stoddard_mo
J3334,MAPLE,100.0,Storage,2024-04-05T04:00:00+00:00,2028-06-01T04:00:00+00:00,LaPorte,IN,"DUKE ENERGY INDIANA, LLC",MISO,laporte_in
J3372,Rezzy,100.0,Storage,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,Macoupin,IL,AMEREN ILLINOIS,MISO,macoupin_il
J3400,Astoria 345kV substation,142.2,Solar+Storage,2024-03-20T04:00:00+00:00,2028-04-19T04:00:00+00:00,Deuel,SD,OTTER TAIL POWER COMPANY,MISO,deuel_sd
J3402,Briggs Road (NSP) - North Madison (ATC) 345.0kV,200.0,Storage,2024-04-18T04:00:00+00:00,2028-05-31T04:00:00+00:00,Juneau,WI,AMERICAN TRANSMISSION COMPANY,MISO,juneau_wi
J3407,LINDEMAN - TIPPY 138.0kV,300.0,Natural Gas,2024-04-11T04:00:00+00:00,2028-10-31T04:00:00+00:00,Manistee,MI,METC,MISO,manistee_mi
J3456,San Jose Rail Switching Station,100.0,Wind,2024-04-18T04:00:00+00:00,2028-05-31T04:00:00+00:00,Tazewell,IL,AMEREN ILLINOIS,MISO,tazewell_il
J3457,STUTTGART RICUSKEY - WOODWARD 230 SUB 230.0kV,225.0,Solar,2024-04-12T04:00:00+00:00,2027-02-28T05:00:00+00:00,Arkansas,AR,"ENTERGY ARKANSAS, LLC",MISO,arkansas_ar
J3293,Edwardsport IGCC - Amo 345.0kV,250.0,Solar,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Knox,IN,"DUKE ENERGY INDIANA, LLC",MISO,knox_in
J3294,GPC Primary - Sandborn Primary 161.0kV,200.0,Solar,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Daviess,IN,HOOSIER ENERGY,MISO,daviess_in
J3295,Cole - Penton Road 230.0kV,250.0,Solar,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Beauregard,LA,CLECO POWER LLC,MISO,beauregard_la
J3296,Hamilton,200.0,Storage,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Hamilton,IL,AMEREN ILLINOIS,MISO,hamilton_il
J3297,Herzog,150.0,Storage,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,St. Clair,IL,AMEREN ILLINOIS,MISO,stclair_il
J3298,Towerline,200.0,Storage,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Tazewell,IL,AMEREN ILLINOIS,MISO,tazewell_il
J3299,BEVIL,150.0,Storage,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Jefferson,TX,"ENTERGY TEXAS, INC.",MISO,jefferson_tx
J3802,RITCHIE SWYD - TARLETON 230.0kV,300.0,Solar,2024-04-17T04:00:00+00:00,2028-09-04T04:00:00+00:00,Phillips,AR,"ENTERGY ARKANSAS, LLC",MISO,phillips_ar
J3778,Fergus Falls MRES/WMMPA,100.0,Storage,2024-04-15T04:00:00+00:00,2028-08-15T04:00:00+00:00,Otter Tail,MN,MISSOURI RIVER ENERGY SERVICES - TRANSMISSION,MISO,ottertail_mn
J3776,TittabawASSEE,150.0,Storage,2024-04-18T04:00:00+00:00,2028-09-30T04:00:00+00:00,Midland,MI,METC,MISO,midland_mi
J3777,Other_,91.8,Solar,2024-04-12T04:00:00+00:00,2028-04-01T04:00:00+00:00,Cheboygan,MI,METC,MISO,cheboygan_mi
J3779,AB Brown 345 - Reid EHV (BREC Terminal) 345.0kV,100.0,Wind,2024-04-17T04:00:00+00:00,2026-10-15T04:00:00+00:00,Henderson,KY,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,MISO,henderson_ky
J3795,7FABIUS - 7MAYWOOD 345.0kV,91.0,Solar+Storage,2024-04-18T04:00:00+00:00,2028-01-01T05:00:00+00:00,Knox,MO,AMEREN TRANSMISSION COMPANY OF ILLINOIS,MISO,knox_mo
J3792,ALMA - VESTABURG 138.0kV,125.0,Solar,2024-04-18T04:00:00+00:00,2028-04-01T04:00:00+00:00,Gratiot,MI,METC,MISO,gratiot_mi
J3794,Daviess County - Utica 69.0kV,50.0,Solar+Storage,2024-04-18T04:00:00+00:00,2028-01-01T05:00:00+00:00,Daviess,KY,BIG RIVERS ELECTRIC CORPORATION,MISO,daviess_ky
J3793,East Leesville - Rodemacher 230.0kV,100.0,Solar,2024-04-18T04:00:00+00:00,2028-04-01T04:00:00+00:00,Rapides,LA,CLECO POWER LLC,MISO,rapides_la
J3797,7KANSAS   - 08SUGCRK 345.0kV,141.23,Solar,2024-04-18T04:00:00+00:00,2028-03-31T04:00:00+00:00,Edgar,IL,AMEREN TRANSMISSION COMPANY OF ILLINOIS,MISO,edgar_il
J3798,Bison - Colby 345kV,320.0,Wind,2024-03-27T04:00:00+00:00,2028-06-30T04:00:00+00:00,Winnebago,IA,ITC MIDWEST,MISO,winnebago_ia
J3498,7FARGO - 7SANDBURG 345.0kV,300.0,Solar,2024-04-13T04:00:00+00:00,2028-09-15T04:00:00+00:00,Knox,IL,AMEREN ILLINOIS,MISO,knox_il
J3499,LEESBURG - DEEDSVILLE (DUKE) 345.0kV,300.0,Solar,2024-04-14T04:00:00+00:00,2028-09-15T04:00:00+00:00,Kosciusko,IN,NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC,MISO,kosciusko_in
J3501,KEYSTONE - TIPPY 138.0kV,200.0,Storage,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,Wexford,MI,METC,MISO,wexford_mi
J3500,CHISAGO COUNTY,150.0,Storage,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,Chisago,MN,NORTHERN STATES POWER COMPANY,MISO,chisago_mn
J3502,ARGENTA - PALISADES 345.0kV,200.0,Storage,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,Van Buren,MI,METC,MISO,vanburen_mi
J3544,Abbott,62.0,Wind,2024-04-17T04:00:00+00:00,2027-10-30T04:00:00+00:00,Tama,IA,ITC MIDWEST,MISO,tama_ia
J3548,Laurel,62.0,Wind,2024-04-18T04:00:00+00:00,2027-10-30T04:00:00+00:00,Marshall,IA,ITC MIDWEST,MISO,marshall_ia
J3549,PLEASANT VALLEY,485.0,Natural Gas,2024-04-17T04:00:00+00:00,2025-06-01T04:00:00+00:00,Mower,MN,GREAT RIVER ENERGY,MISO,mower_mn
J3550,Duff 345/138kV,200.0,Storage,2024-04-18T04:00:00+00:00,2027-09-10T04:00:00+00:00,Dubois,IN,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,MISO,dubois_in
J3551,BEACON,200.0,Storage,2024-04-18T04:00:00+00:00,2027-09-10T04:00:00+00:00,Mahaska,IA,MIDAMERICAN ENERGY CO.,MISO,mahaska_ia
J3574,Other_,60.0,Solar,2024-04-17T04:00:00+00:00,2027-10-01T04:00:00+00:00,Wayne,IN,"DUKE ENERGY INDIANA, LLC",MISO,wayne_in
J3608,New Castle I Avenue,77.6,Solar,2024-04-18T04:00:00+00:00,2028-07-01T04:00:00+00:00,Henry,IN,"DUKE ENERGY INDIANA, LLC",MISO,henry_in
J3611,7W_FRFT_E - 7NORRIS   345.0kV,140.0,Solar,2024-04-18T04:00:00+00:00,2026-12-30T05:00:00+00:00,Hamilton,IL,AMEREN ILLINOIS,MISO,hamilton_il
J3606,PARKIN - GILMORE 161.0kV,197.7,Solar+Storage,2024-04-18T04:00:00+00:00,2028-01-01T05:00:00+00:00,Cross,AR,"ENTERGY ARKANSAS, LLC",MISO,cross_ar
J3607,New Castle I Avenue,47.4,Solar,2024-04-18T04:00:00+00:00,2028-07-01T04:00:00+00:00,Henry,IN,"DUKE ENERGY INDIANA, LLC",MISO,henry_in
J3612,Fisher - Many 138.0kV,200.0,Solar,2024-04-17T04:00:00+00:00,2028-09-30T04:00:00+00:00,Sabine,LA,CLECO POWER LLC,MISO,sabine_la
J3613,CROSSETT NORTH - HAMBURG 115.0kV,180.0,Solar,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Ashley,AR,"ENTERGY ARKANSAS, LLC",MISO,ashley_ar
J3614,CROSSETT NORTH - HAMBURG 115.0kV,180.0,Storage,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Ashley,AR,"ENTERGY ARKANSAS, LLC",MISO,ashley_ar
J3615,STUTTGART NORTH SS,125.0,Solar,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Arkansas,AR,"ENTERGY ARKANSAS, LLC",MISO,arkansas_ar
J3610,DOUCETTE,150.0,Solar,2024-04-18T04:00:00+00:00,2028-06-30T04:00:00+00:00,Tyler,TX,"ENTERGY TEXAS, INC.",MISO,tyler_tx
J3609,NELSON 138 SWYD - LONGVILLE (CLECO) 138.0kV,93.1,Solar,2024-04-02T04:00:00+00:00,2027-12-27T05:00:00+00:00,Beauregard,LA,"ENTERGY LOUISIANA, LLC",MISO,beauregard_la
J3669,Riverview - Alexandria MRES 345.0kV,300.0,Solar,2024-04-18T04:00:00+00:00,2028-02-01T05:00:00+00:00,Stevens,MN,OTTER TAIL POWER COMPANY,MISO,stevens_mn
J3670,Corbin 138 kV,100.0,Storage,2024-04-18T04:00:00+00:00,2028-06-30T04:00:00+00:00,LaSalle,IL,AMEREN ILLINOIS,MISO,lasalle_il
J3672,Other_,300.0,Wind,2024-04-18T04:00:00+00:00,2028-10-30T04:00:00+00:00,Traverse,MN,OTTER TAIL POWER COMPANY,MISO,traverse_mn
J3671,4NEOGA 2 - 4SHELBYVL E 138.0kV,120.0,Solar,2024-04-18T04:00:00+00:00,2027-07-27T04:00:00+00:00,Shelby,IL,AMEREN ILLINOIS,MISO,shelby_il
J3682,FOUR MILE - WHITE ROAD 138.0kV,150.0,Solar,2024-04-18T04:00:00+00:00,2028-04-01T04:00:00+00:00,Muskegon,MI,METC,MISO,muskegon_mi
