id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
AE1-070 - moved to TC1,"Elwood 345 kV / 
    ",0.0,Natural Gas,7/31/2018,12/31/2020,Will,IL,ComEd,PJM,will_il
AE1-092 - moved to TC1,"Blue Jacket-Kirby 138 kV / 
    ",229.5,Solar,8/31/2018,12/31/2021,Union,OH,Dayton,PJM,union_oh
AE1-114 - moved to TC1,"Maryland-Lancaster 138 kV / 
    ",150.0,Wind,9/13/2018,12/31/2021,Ogle,IL,ComEd,PJM,ogle_il
AE1-148 - moved to TC1,"Kerr Dam-Ridge Rd 115 kV / 
    ",90.0,Solar,9/24/2018,12/1/2021,Mecklenburg,VA,Dominion,PJM,mecklenburg_va
AE1-166,"Loretto-Wilton & Braidwood-Davis Creek / 
    ",150.0,Solar,9/24/2018,9/30/2020,Kankakee,IL,ComEd,PJM,kankakee_il
AE1-172 - moved to TC1,"Loretto-Wilton Center / 
    ",255.0,Wind,9/25/2018,10/1/2021,Livingston,IL,ComEd,PJM,livingston_il
AE1-173,"Carson-Suffolk 500 kV / 
    ",800.0,Solar,9/25/2018,12/31/2021,Sussex,VA,Dominion,PJM,sussex_va
AE1-205,"McLean 345 kV / 
    ",200.0,Solar,9/26/2018,12/31/2022,Livingston,IL,ComEd,PJM,livingston_il
AE1-246,"Barren County-Summer Shade 161 kV / 
    ",85.0,Solar,9/24/2018,6/1/2022,Barren,KY,EKPC,PJM,barren_ky
AE2-094,"Carson-Rogers Road 500 kV / 
    ",300.0,Solar/Storage,2/26/2019,6/1/2022,Sussex,VA,Dominion,PJM,sussex_va
AE2-122,"Birdneck-Landstown 230 kV / 
    ",800.1,Wind,2/28/2019,12/31/2025,City of Virginia Beach,VA,Dominion,PJM,city of virginia beach_va
AE2-136,"Muskingum River-W. Millersport 345 kV / 
    ",114.0,Solar,3/6/2019,6/1/2022,Fairfield,OH,AEP,PJM,fairfield_oh
AE2-138 - moved to TC1,"Avon-North Clark 345 kV / 
    ",260.0,Solar,3/8/2019,6/1/2022,Clark,KY,EKPC,PJM,clark_ky
AE2-147 - moved to TC1,"Swamp 230 kV / 
    ",150.0,Solar,3/13/2019,12/1/2022,Perquimans,NC,Dominion,PJM,perquimans_nc
AE2-152,"Loretto-Wilton & Braidwood-Davis Creek / 
    ",150.0,Solar,3/4/2019,9/30/2020,Kankakee,IL,ComEd,PJM,kankakee_il
AE2-156 - moved to TC1,"Yadkin 115 kV / 
    ",100.0,Storage,3/15/2019,12/1/2021,City of Chesapeake,VA,Dominion,PJM,city of chesapeake_va
AE2-160,"Kanawha River 138 kV / 
    ",51.0,Other,3/15/2019,10/1/2021,Fayette,WV,AEP,PJM,fayette_wv
AE2-173 - moved to TC1,"McLean 345 kV / 
    ",50.0,Storage,3/18/2019,12/31/2022,McLean,IL,ComEd,PJM,mclean_il
AE2-185 - moved to TC1,Gladys DP-Stonemill Switching Station 69 kV / Gladys II Solar Farm,60.0,Solar,3/18/2019,9/1/2020,Campbell,VA,Dominion,PJM,campbell_va
AE2-187 - moved to TC1,"Shockoe DP-Chatham 69 kV / 
    ",60.0,Solar,3/18/2019,9/1/2020,Pittsylvania,VA,Dominion,PJM,pittsylvania_va
AE2-210 - moved to TC1,"Avon-North Clark 345 kV / 
    ",90.0,Solar,3/20/2019,6/1/2022,Clark,KY,EKPC,PJM,clark_ky
AE2-220,Losantville 345 kV / Riverstart Solar Park II,125.0,Solar,3/21/2019,10/31/2022,Randolph,IN,AEP,PJM,randolph_in
AE2-223 - moved to TC1,"McLean 345 kV / 
    ",150.0,Wind,3/22/2019,10/31/2022,McLean,IL,ComEd,PJM,mclean_il
AE2-231,"St. Johns 115 kV / 
    ",44.0,Solar,3/22/2019,12/1/2022,Caroline,VA,Dominion,PJM,caroline_va
AE2-234,"Liberty Center-Buckeye Tap 69 kV / 
    ",35.0,Solar,3/22/2019,7/31/2021,Huntington,IN,AEP,PJM,huntington_in
