id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
IC-1280,Judy Mountain - Mohawk Industries 115 kV Line,15,Storage,4/15/2024,8/13/2026,Floyd,GA,Southern Company,SoCo,floyd_ga
IC-1279,Yates Substation 230 kV Bus,320,Storage,4/3/2024,6/30/2028,Coweta,GA,Southern Company,SoCo,coweta_ga
IC-1276,Mitchell Substation 230 kV Bus,150,Solar+Storage,4/1/2024,7/28/2028,Mitchell,GA,Southern Company,SoCo,mitchell_ga
IC-1272,McConnell - Pegamore 230 kV Line,200,Storage,3/27/2024,4/1/2027,Paulding,GA,Southern Company,SoCo,paulding_ga
IC-1271,McGrau Ford Substation 230 kV Bus,530,Storage,3/27/2024,1/16/2026,Cherokee,GA,Southern Company,SoCo,cherokee_ga
IC-1270,Anniston (APC) - Hammond 230 kV Line,100,Solar,3/27/2024,8/15/2026,Floyd,GA,Southern Company,SoCo,floyd_ga
IC-1267,Hammond SP Substation 230 kV Bus,57.5,Storage,3/22/2024,3/30/2026,Floyd,GA,Southern Company,SoCo,floyd_ga
IC-1266,Thurlow Dam - Union Springs 115 kV Line,200,Solar,3/22/2024,11/19/2027,Bullock,AL,Southern Company,SoCo,bullock_al
IC-1265,North Dublin - Wadley Primary 230 kV Line,200,Solar+Storage,3/18/2024,7/28/2028,Laurens,GA,Southern Company,SoCo,laurens_ga
IC-1264,Plant Wansley Substation 500 kV Bus,722,Natural Gas,3/18/2024,3/1/2029,Heard,GA,Southern Company,SoCo,heard_ga
IC-1263,Plant Wansley Substation 500 kV Bus,722,Natural Gas,3/18/2024,9/1/2028,Heard,GA,Southern Company,SoCo,heard_ga
IC-1260,McCall Road - West McIntosh 500 kV Line,722,Natural Gas,3/18/2024,9/1/2029,Effingham,GA,Southern Company,SoCo,effingham_ga
IC-1259,McCall Road - West McIntosh 500 kV Line,722,Natural Gas,3/18/2024,3/1/2029,Effingham,GA,Southern Company,SoCo,effingham_ga
IC-1258,Plant Bowen Substation 500 kV Bus,722,Natural Gas,3/18/2024,9/1/2029,Bartow,GA,Southern Company,SoCo,bartow_ga
IC-1257,Plant Bowen Substation 500 kV Bus,722,Natural Gas,3/18/2024,5/1/2029,Bartow,GA,Southern Company,SoCo,bartow_ga
IC-1256,Plant Bowen Substation 500 kV Bus,722,Natural Gas,3/18/2024,1/1/2029,Bartow,GA,Southern Company,SoCo,bartow_ga
IC-1255,Plant Bowen Substation 230 kV Bus,722,Natural Gas,3/18/2024,9/1/2028,Bartow,GA,Southern Company,SoCo,bartow_ga
IC-1254b,Tenaska Georgia SS Substation 500 kV Bus,1002.5,Natural Gas,3/15/2024,8/1/2028,Heard,GA,Southern Company,SoCo,heard_ga
IC-1254a,Tenaska Georgia SS Substation 500 kV Bus,1002.5,Natural Gas,3/15/2024,8/1/2028,Heard,GA,Southern Company,SoCo,heard_ga
IC-1251,Bartlett's Ferry - West Point 115 kV Line,157,Solar,3/14/2024,4/1/2028,Lee,AL,Southern Company,SoCo,lee_al
IC-1249,North Tifton - Pitts 230 kV Line,110.5,Solar+Storage,3/11/2024,8/15/2026,Turner,GA,Southern Company,SoCo,turner_ga
IC-1248,Shaddock Creek - Vidalia 115 kV Line,110.5,Solar+Storage,3/11/2024,8/15/2026,Treutlen,GA,Southern Company,SoCo,treutlen_ga
IC-1247,Plant Wansley Substation 500 kV Bus,500,Storage,3/6/2024,3/1/2028,Heard,GA,Southern Company,SoCo,heard_ga
IC-1244,Newton - Forest Industrial 115 kV Line,100,Solar,3/4/2024,4/1/2027,Newton,MS,Southern Company,SoCo,newton_ms
IC-1243,Kiln - Carriere SW 230 kV Line,200,Solar,3/1/2024,4/1/2027,Pearl River,MS,Southern Company,SoCo,pearlriver_ms
IC-1246,Fort Stewart CU 115 kV Bus,30,Solar+Storage,2/7/2024,2/9/2026,LIberty,GA,Southern Company,SoCo,liberty_ga
