id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
254.0,BFN 500-kV Substation,155.0,Other,08/15/2014,04/30/2018,Limestone,AL,TVA,TVA,limestone_al
255.0,BFN 500-kV Substation,155.0,Other,08/15/2014,09/30/2018,Limestone,AL,TVA,TVA,limestone_al
256.0,BFN 500-kV Substation,155.0,Other,08/15/2014,04/03/2019,Limestone,AL,TVA,TVA,limestone_al
257.0,Allen 161-kV Substation,1082.0,Natural Gas,08/22/2014,07/01/2018,Shelby,TN,TVA,TVA,shelby_tn
292.0,Highway 412-New Tiptonville 161-kV TL,80.0,Solar,04/19/2016,03/31/2023,Lake,TN,TVA,TVA,lake_tn
299.0,Highway 412-New Tiptonville 161-kV TL,67.0,Solar,07/28/2016,03/01/2020,Lake,TN,TVA,TVA,lake_tn
305.0,Cordova-S. Jackson 161-kV TL,147.0,Solar,11/22/2016,02/01/2025,Fayette,TN,TVA,TVA,fayette_tn
313.0,Stateline - West Point 161-kV TL,100.0,Solar,05/23/2017,09/22/2026,Monroe,MS,TVA,TVA,monroe_ms
314.0,Stateline - West Point 161-kV TL,60.0,Solar,05/23/2017,09/15/2021,Monroe,MS,TVA,TVA,monroe_ms
320.0,Raccoon Mountain 161-kV Substation,11.0,Other,08/04/2017,01/15/2019,Marion,TN,TVA,TVA,marion_tn
321.0,Raccoon Mountain 161-kV Substation,11.0,Other,08/04/2017,01/15/2021,Marion,TN,TVA,TVA,marion_tn
322.0,Raccoon Mountain 161-kV Substation,27.0,Other,08/04/2017,01/15/2021,Marion,TN,TVA,TVA,marion_tn
323.0,Raccoon Mountain 161-kV Substation,27.0,Other,08/04/2017,01/15/2022,Marion,TN,TVA,TVA,marion_tn
332.0,Allen 161-kV Substation,23.0,Natural Gas,10/18/2017,02/28/2018,Shelby,TN,TVA,TVA,shelby_tn
333.0,Shelby-SR Millington 161-kV TL,74.0,Solar+Storage,10/18/2017,05/31/2024,Shelby,TN,TVA,TVA,shelby_tn
337.0,Highway 412-Tiptonville 161-kV TL,30.0,Solar,01/02/2018,03/01/2020,Lake,TN,TVA,TVA,lake_tn
341.0,Artesia 161-kV Substation (future),100.0,Solar,03/28/2018,09/24/2024,Lowndes,MS,TVA,TVA,lowndes_ms
364.0,Springfield - Logan Aluminum 161-kV TL,173.0,Solar,04/02/2019,08/01/2024,Logan,KY,TVA,TVA,logan_ky
377.0,Artesia 161-kV Substation (future),100.0,Solar,06/11/2019,09/24/2024,Lowndes,MS,TVA,TVA,lowndes_ms
379.0,Artesia 161-kV Substation (future),50.0,Storage,06/11/2019,09/24/2024,Lowndes,MS,TVA,TVA,lowndes_ms
385.0,Trinity - Nance 161-kV TL,200.0,Solar,08/01/2019,05/04/2026,Lawrence,AL,TVA,TVA,lawrence_al
387.0,Colbert FP - Reynolds No. 1 161-kV TL,200.0,Solar,08/01/2019,05/03/2027,Colbert,AL,TVA,TVA,colbert_al
388.0,Portland - Franklin 161-kV TL,69.0,Solar,08/01/2019,06/25/2025,Simpson,KY,TVA,TVA,simpson_ky
401.0,Johnsonville Fossil Plant - 161kV Yard,494.0,Natural Gas,09/11/2019,06/01/2023,Humphreys,TN,TVA,TVA,humphreys_tn
405.0,CR BRK 242 - Mountain Home 161-kV TL,193.0,Solar,11/18/2019,05/28/2027,Lawrence,AL,TVA,TVA,lawrence_al
416.0,Colbert Fossil Plant 161-kV Station,720.0,Natural Gas,02/10/2020,10/01/2022,Colbert,AL,TVA,TVA,colbert_al
417.0,Paradise 500-kV Station,720.0,Natural Gas,02/10/2020,10/01/2022,Muhlenberg,KY,TVA,TVA,muhlenberg_ky
420.0,Colbert FP - Wheeler HP 161-kV TL,66.0,Solar,03/25/2020,10/15/2024,Lawrence,AL,TVA,TVA,lawrence_al
422.0,Okolona 161-kV Substation,145.0,Solar,04/02/2020,08/28/2026,Chickasaw,MS,TVA,TVA,chickasaw_ms
423.0,West Point 161-kV Substation,200.0,Solar,04/21/2020,05/08/2025,Clay,MS,TVA,TVA,clay_ms
424.0,West Point 161-kV Substation,50.0,Storage,04/21/2020,05/08/2025,Clay,MS,TVA,TVA,clay_ms
425.0,Clay - Okolona 161-kV TL,150.0,Solar,04/23/2020,03/08/2028,Chickasaw,MS,TVA,TVA,chickasaw_ms
426.0,Johnsonville Fossil Plant - 161kV Yard,81.0,Natural Gas,04/23/2020,06/01/2023,Humphreys,TN,TVA,TVA,humphreys_tn
429.0,West Point 161-kV Substation,200.0,Storage,04/29/2020,11/12/2027,Clay,MS,TVA,TVA,clay_ms
433.0,Clay 161-kV Substation,100.0,Storage,05/15/2020,12/14/2028,Clay,MS,TVA,TVA,clay_ms
445.0,Franklin - Warchase No 2 161-kV TL,200.0,Solar,06/22/2020,09/02/2025,Moore,TN,TVA,TVA,moore_tn
446.0,"Lowndes, MS 500-kV Substation",127.0,Solar,07/01/2020,03/06/2028,Lowndes,MS,TVA,TVA,lowndes_ms
466.0,"West Point, MS 500-kV Substation (161-kV)",200.0,Solar,02/08/2021,06/12/2028,Clay,MS,TVA,TVA,clay_ms
469.0,Johnsonville FP - S Jackson 161-kV TL,125.0,Solar+Storage,03/23/2021,11/27/2028,Henderson,TN,TVA,TVA,henderson_tn
470.0,Sequoyah Nuclear 500-kV Substation,9.0,Other,03/30/2021,11/06/2022,Hamilton,TN,TVA,TVA,hamilton_tn
471.0,Sequoyah Nuclear 500-kV Substation,6.0,Other,03/30/2021,04/15/2026,Hamilton,TN,TVA,TVA,hamilton_tn
476.0,Barkley Power Plant,36.0,Other,04/29/2021,08/01/2022,Lyon,KY,TVA,TVA,lyon_ky
477.0,"Selmer - Bolivar 161-kV TLCordova - Hickory Valley No 2 161-kV TL",200.0,Solar+Storage,06/08/2021,08/07/2029,Hardeman,TN,TVA,TVA,hardeman_tn
482.0,"Plateau 500-kV Substation (161-kVInterconnection)",110.0,Solar,10/05/2021,09/13/2027,Cumberland,TN,TVA,TVA,cumberland_tn
483.0,Cumberland 500-kV Switchyard,1513.0,Natural Gas,10/08/2021,09/01/2025,Stewart,TN,TVA,TVA,stewart_tn
485.0,"Kedron Rd SW STA - Unionville SW STA 161-kV TL",130.0,Solar+Storage,10/25/2021,10/20/2028,Bedford,TN,TVA,TVA,bedford_tn
489.0,Kingston Fossil Plant,1579.0,Natural Gas,12/09/2021,06/01/2026,Roane,TN,TVA,TVA,roane_tn
498.0,Colbert FP - Wheeler HP 161-kV TL,170.0,Solar+Storage,04/02/2022,01/01/2027,Colbert,AL,TVA,TVA,colbert_al
501.0,"Great Falls HP - Spring City 161-kV TLGreat Falls HP - Spring City  161-kV TL",150.0,Solar,05/23/2022,02/01/2025,Bledsoe,TN,TVA,TVA,bledsoe_tn
503.0,Weakley - Dyersburg No1 161-kV TL,70.0,Solar,06/20/2022,11/08/2024,Gibson,TN,TVA,TVA,gibson_tn
504.0,Okolona - Clay 161-kV TL,70.0,Solar,06/20/2022,07/28/2028,Chickasaw,MS,TVA,TVA,chickasaw_ms
510.0,Huntingdon - Milan 161-kV TL,140.0,Solar,07/22/2022,11/26/2029,Carroll,TN,TVA,TVA,carroll_tn
512.0,Union - Tupelo No. 3 161-kV TL,200.0,Solar,08/23/2022,12/11/2028,Lee,MS,TVA,TVA,lee_ms
514.0,Widows Creek FP - Rock Spring 230kV TL,200.0,Storage,08/24/2022,09/07/2028,Dekalb,AL,TVA,TVA,dekalb_al
515.0,Covington - Alamo 161-kV TL,67.0,Solar,08/25/2022,09/12/2025,Haywood,TN,TVA,TVA,haywood_tn
516.0,"Wheeler HP-Elgin-Mt Pleasant No 1 161-kVTL",150.0,Solar+Storage,08/26/2022,01/24/2029,Lauderdale,AL,TVA,TVA,lauderdale_al
519.0,Holly Springs - Chickasaw Trail IP 161-kV TL,50.0,Solar,09/02/2022,12/14/2029,Marshall,MS,TVA,TVA,marshall_ms
522.0,Red Hills - Leake 161-kV TL,67.0,Solar,09/23/2022,05/01/2026,Choctaw,MS,TVA,TVA,choctaw_ms
530.0,Batesville - Blue Goose 161 kV TL,90.0,Solar+Storage,03/07/2023,06/29/2028,Pinola,MS,TVA,TVA,pinola_ms
532.0,Clay - Okolona 161-kV TL,50.0,Solar+Storage,03/15/2023,08/01/2024,Chickasaw,MS,TVA,TVA,chickasaw_ms
535.0,"TVA’s Franklin-Belfast 161-kV TransmissionLine",135.0,Solar+Storage,03/22/2023,05/30/2028,Marshall,TN,TVA,TVA,marshall_tn
538.0,Johnsonville Steam - Chesterfield 161-kV TL,150.0,Solar+Storage,03/28/2023,04/24/2029,Henderson,TN,TVA,TVA,henderson_tn
540.0,Okolona - Calhoun City 161kV TL,150.0,Solar,04/05/2023,11/13/2029,Chickasaw,MS,TVA,TVA,chickasaw_ms
547.0,Kingston Steam Plant 161kV Switchayrd,100.0,Storage,04/17/2023,12/01/2026,Roane,TN,TVA,TVA,roane_tn
558.0,"Hopson, KY 161-kV Substation",125.0,Solar,05/31/2023,09/01/2026,Caldwell,KY,TVA,TVA,caldwell_ky
569.0,Lowndes 161kV Substation,515.0,Natural Gas,06/20/2023,09/01/2026,Lowndes,MS,TVA,TVA,lowndes_ms
536.0,"Lost City, KY 161-kV Switching Station",350.0,Solar,03/28/2023,08/11/2026,Muhlenberg,KY,TVA,TVA,muhlenberg_ky
567.0,DAVIDSON - MONTGOMERY 500 KV TL,880.0,Natural Gas,06/16/2023,09/01/2027,Cheatham,TN,TVA,TVA,cheatham_tn
585.0,TVA's Okolona - Calhoun City 161 kV TL,220.0,Solar,09/19/2023,05/10/2027,Chickasaw,MS,TVA,TVA,chickasaw_ms
586.0,Waynesboro City - Clifton City 69 kV TL,20.0,Storage,10/11/2023,03/01/2029,Wayne,TN,TVA,TVA,wayne_tn
587.0,Phipps Bend 500 kV TL,225.0,Storage,10/11/2023,03/01/2029,Hawkins,TN,TVA,TVA,hawkins_tn
588.0,"L5396, Str 8 - Allen CCP",198.0,Natural Gas,11/03/2023,10/01/2024,Shelby,TN,TVA,TVA,shelby_tn
592.0,Shelby 500kV SS,500.0,Solar+Storage,12/01/2023,03/15/2027,Mississippi,AR,TVA,TVA,mississippi_ar
593.0,"Shelby, TN 500 KV SS",500.0,Solar+Storage,12/01/2023,03/15/2027,Mississippi,AR,TVA,TVA,mississippi_ar
